,garden_count,zipcode,borough,population,median_household_income,median_age,hispanic_or_latino,white_alone,black_alone,asian_alone,Unnamed: 10,ratio_zipcode
0,44,11207,B,97690,45616,35.0,34.4,5.1,55.2,1.5,,45.04
1,38,10009,M,60000,77551,37.0,24.5,50.8,6.8,12.9,,63.33
2,26,11233,B,85633,52380,34.1,15.9,11.4,67.7,1.3,,30.36
3,21,11221,B,89728,66923,32.1,32.4,20.0,39.5,4.4,,23.4
4,20,10027,M,65840,58435,31.0,25.8,26.1,35.3,8.6,,30.38
5,19,11206,B,90903,49013,29.7,36.2,36.9,18.3,6.0,,20.9
6,19,11208,B,107724,49679,33.2,40.6,2.9,46.1,6.9,,17.64
7,17,11212,B,78296,30733,38.4,17.0,3.2,73.3,1.1,,21.71
8,17,10035,M,37042,32555,36.3,44.0,13.1,36.4,3.7,,45.89
9,17,10456,X,90314,31166,32.5,57.8,1.7,37.7,0.7,,18.82
10,15,10451,X,50118,33945,34.3,56.1,4.2,36.9,1.2,,29.93
11,15,10029,M,77661,33901,38.4,45.8,15.1,25.0,10.5,,19.31
12,14,11216,B,62210,84661,34.2,12.8,30.3,46.5,4.5,,22.5
13,12,11238,B,58597,114427,35.3,11.3,48.3,28.0,6.2,,20.48
14,11,10459,X,51303,36631,33.2,67.4,1.6,29.5,0.3,,21.44
15,10,10455,X,42781,30741,31.6,73.0,2.0,22.8,0.8,,23.37
16,10,10457,X,79443,38066,30.6,65.1,1.8,30.6,0.6,,12.59
17,10,11211,B,65925,89091,31.5,26.4,60.3,3.7,6.0,,15.17
18,10,10031,M,61801,57180,35.4,50.7,17.5,23.8,4.2,,16.18
19,9,10460,X,59979,31504,33.9,66.6,3.3,26.0,1.2,,15.01
20,8,10452,X,79838,33877,32.2,67.7,2.1,26.6,1.2,,10.02
21,8,11217,B,42107,133269,35.5,14.4,51.6,17.8,8.7,,19.0
22,7,10453,X,80393,34860,33.2,69.1,2.1,24.4,2.0,,8.71
23,7,11231,B,40311,121638,36.7,16.0,60.3,11.4,4.9,,17.36
24,7,10454,X,38908,21846,32.3,69.7,3.4,25.7,0.1,,17.99
25,6,11434,Q,66424,66546,40.3,10.6,2.0,78.7,3.2,,9.03
26,6,10002,M,76807,37093,43.7,25.9,24.6,7.4,39.3,,7.81
27,5,10026,M,39401,65038,35.7,19.3,21.9,48.7,5.9,,12.69
28,5,11215,B,73419,156930,37.0,16.3,66.2,3.2,8.9,,6.81
29,5,10030,M,31611,42834,37.6,28.8,9.8,53.7,3.3,,15.82
30,5,11433,Q,41396,68801,34.4,13.9,2.7,56.9,16.4,,12.08
31,5,10473,X,60296,48212,38.0,63.1,2.4,30.8,1.5,,8.29
32,5,11691,Q,70797,54877,32.1,24.6,25.1,42.1,4.2,,7.06
33,4,11368,Q,116469,62254,34.3,75.6,4.9,6.8,11.6,,3.43
34,4,11435,Q,60842,71346,36.2,31.1,13.0,24.2,21.4,,6.57
35,4,11101,Q,33789,98920,34.0,20.8,35.0,11.5,27.8,,11.84
36,4,10025,M,96918,103440,40.0,22.5,54.2,9.5,10.1,,4.13
37,4,11201,B,68777,148282,35.3,11.8,56.9,12.3,13.8,,5.82
38,4,11205,B,50681,68607,29.5,16.0,49.4,23.9,6.1,,7.89
39,4,11213,B,69392,48896,34.5,11.9,21.1,61.8,1.7,,5.76
40,3,11225,B,59465,68542,36.1,10.3,28.9,54.7,2.7,,5.04
41,3,10039,M,27234,50164,35.8,33.5,8.9,52.1,2.3,,11.02
42,3,10003,M,54447,137533,32.0,8.0,66.4,5.2,16.7,,5.51
43,3,11224,B,48110,37241,48.2,20.1,49.7,18.7,8.6,,6.24
44,3,11377,Q,85255,66325,40.4,38.8,20.4,1.5,36.8,,3.52
45,3,10032,M,60529,55059,37.1,64.5,15.2,13.3,4.4,,4.96
46,3,10466,X,75767,62918,37.2,26.6,2.3,63.7,2.5,,3.96
47,3,10310,R,25976,96161,38.4,29.1,43.6,18.8,5.4,,11.55
48,3,10468,X,82480,40138,33.3,79.3,2.6,13.8,2.6,,3.64
49,3,10458,X,86757,38768,29.7,72.0,7.0,15.9,3.3,,3.46
50,3,11222,B,39669,110385,34.9,14.4,72.6,3.0,4.0,,7.56
51,2,11692,Q,24639,53498,36.9,24.7,13.2,52.3,5.7,,8.12
52,2,10304,R,43849,64539,38.8,22.6,39.7,25.2,11.1,,4.56
53,2,11236,B,102238,73562,39.1,8.6,3.9,81.1,2.3,,1.96
54,2,10301,R,38736,78053,39.0,26.1,45.3,17.6,7.4,,5.16
55,2,11693,Q,14147,64688,40.0,29.7,42.7,19.6,2.9,,14.14
56,2,11226,B,99776,66173,35.4,14.8,13.7,63.9,2.9,,2.0
57,2,11218,B,76370,81857,36.4,16.3,52.4,7.6,19.3,,2.62
58,1,11369,Q,31550,66132,40.7,56.0,9.2,16.5,16.0,,3.17
59,1,10474,X,11312,33157,30.6,68.2,2.2,28.2,0.2,,8.84
60,1,11355,Q,80918,46963,44.9,15.0,7.5,2.1,73.6,,1.24
61,1,11237,B,50590,65908,31.7,58.7,23.1,7.0,6.5,,1.98
62,1,11249,B,42421,105222,30.7,19.9,65.9,4.3,5.3,,2.36
63,1,10462,X,78470,59032,35.5,47.9,10.9,22.3,14.8,,1.27
64,1,10036,M,30437,98177,39.7,19.7,50.8,6.6,16.8,,3.29
65,1,10470,X,16446,70107,39.3,20.5,38.1,33.5,3.4,,6.08
66,1,10012,M,22269,117581,35.2,8.9,66.9,3.4,18.6,,4.49
67,1,11220,B,93584,57046,35.9,39.3,15.5,1.8,41.9,,1.07
68,1,10034,M,43365,63851,37.3,71.0,18.4,5.2,2.7,,2.31
69,1,10038,M,23356,99924,35.1,9.7,46.0,9.7,28.1,,4.28
70,1,11411,Q,21605,108131,46.3,6.7,2.4,88.2,0.2,,4.63
71,1,10472,X,66720,36730,32.9,60.4,2.6,24.4,8.5,,1.5
72,1,11362,Q,19217,100528,50.2,9.6,38.9,2.4,47.6,,5.2
73,1,10019,M,43989,105538,40.4,17.5,56.4,4.4,18.7,,2.27
74,1,11375,Q,76091,96321,44.1,14.5,49.8,2.6,28.5,,1.31
75,1,10469,X,75290,70415,40.3,28.3,9.4,53.3,5.4,,1.33
76,1,10463,X,73256,63048,41.9,51.5,29.4,11.9,3.7,,1.37
77,1,11432,Q,64858,66246,38.4,21.5,12.0,16.0,43.6,,1.54
78,1,11229,B,85538,69076,41.0,9.2,59.3,5.4,23.2,,1.17
79,1,11230,B,91789,61017,35.2,10.9,62.4,7.5,15.2,,1.09
80,1,11385,Q,109111,77350,36.2,46.6,42.6,2.0,6.9,,0.92
81,1,11234,B,94254,86185,41.7,9.1,34.6,44.1,8.0,,1.06
82,1,10037,M,19374,48782,39.1,18.8,8.3,66.3,3.6,,5.16
83,1,11210,B,65854,77378,37.7,7.1,31.4,51.8,4.8,,1.52
84,1,11239,B,15917,33736,45.8,15.6,15.5,62.5,2.8,,6.28
85,1,10467,X,102209,42639,34.4,52.2,9.2,28.9,6.2,,0.98
86,1,10024,M,63916,153177,41.5,11.6,77.4,2.3,5.6,,1.56
87,1,10033,M,60739,71630,36.9,66.6,24.9,3.7,2.8,,1.65
88,1,11102,Q,27876,95478,35.0,25.8,48.2,6.2,14.9,,3.59
89,1,10475,X,44509,56327,46.7,31.2,5.2,58.4,2.2,,2.25
