,Unnamed: 0,garden_count,zipcode,borough,population,median_household_income,median_age,hispanic_or_latino,white_alone,black_alone,asian_alone,Unnamed: 10,ratio_zipcode
0,0,44,11207,B,97690,45616,35.0,34.4,5.1,55.2,1.5,,45.04
1,1,38,10009,M,60000,77551,37.0,24.5,50.8,6.8,12.9,,63.33
2,2,26,11233,B,85633,52380,34.1,15.9,11.4,67.7,1.3,,30.36
3,3,21,11221,B,89728,66923,32.1,32.4,20.0,39.5,4.4,,23.4
4,4,20,10027,M,65840,58435,31.0,25.8,26.1,35.3,8.6,,30.38
5,5,19,11206,B,90903,49013,29.7,36.2,36.9,18.3,6.0,,20.9
6,6,19,11208,B,107724,49679,33.2,40.6,2.9,46.1,6.9,,17.64
7,7,17,11212,B,78296,30733,38.4,17.0,3.2,73.3,1.1,,21.71
8,8,17,10035,M,37042,32555,36.3,44.0,13.1,36.4,3.7,,45.89
9,9,17,10456,X,90314,31166,32.5,57.8,1.7,37.7,0.7,,18.82
